Model Name,Release Date,Company/Provider,Parameters,Context Window,Architecture,Modality,Model Type,Public Access,Features,Notable Achievements
Llama 2 7B-Instruct-Orion,2023-07-18T00:00:00Z,Meta / Meta,7B,8192,,text,Language Model,Yes,,
Llama 2 7B-Instruct-Platypus,2023-07-18T00:00:00Z,Meta / Meta,7B,8192,,text,Language Model,Yes,,
Llama 2 7B-Instruct-UltraChat,2023-07-18T00:00:00Z,Meta / Meta,7B,8192,,text,Language Model,Yes,,
Llama 2 70B (GGUF-Q4_0),2023-07-18T00:00:00Z,Meta / Meta,70B,8192,,text,Language Model,Yes,,
Llama 2 70B (GGUF-Q4_1),2023-07-18T00:00:00Z,Meta / Meta,70B,8192,,text,Language Model,Yes,,
Llama 2 70B (GGUF-Q5_0),2023-07-18T00:00:00Z,Meta / Meta,70B,8192,,text,Language Model,Yes,,
Llama 2 70B-Chat (GGUF-Q4_0),2023-07-18T00:00:00Z,Meta / Meta,70B,8192,,text,Language Model,Yes,,
Llama 2 70B-Chat (GGUF-Q4_1),2023-07-18T00:00:00Z,Meta / Meta,70B,8192,,text,Language Model,Yes,,
Llama 2 70B-Chat (GGUF-Q5_0),2023-07-18T00:00:00Z,Meta / Meta,70B,8192,,text,Language Model,Yes,,
Llama 2 70B-Instruct (GGUF-Q4_0),2023-07-18T00:00:00Z,Meta / Meta,70B,8192,,text,Language Model,Yes,,
Llama 2 70B-Instruct (GGUF-Q4_1),2023-07-18T00:00:00Z,Meta / Meta,70B,8192,,text,Language Model,Yes,,
Llama 2 70B-Instruct (GGUF-Q5_0),2023-07-18T00:00:00Z,Meta / Meta,70B,8192,,text,Language Model,Yes,,
Llama 2 13B (GGUF-Q4_0),2023-07-18T00:00:00Z,Meta / Meta,13B,8192,,text,Language Model,Yes,,
Llama 2 13B (GGUF-Q4_1),2023-07-18T00:00:00Z,Meta / Meta,13B,8192,,text,Language Model,Yes,,
Llama 2 13B (GGUF-Q5_0),2023-07-18T00:00:00Z,Meta / Meta,13B,8192,,text,Language Model,Yes,,
Llama 2 13B-Chat (GGUF-Q4_0),2023-07-18T00:00:00Z,Meta / Meta,13B,8192,,text,Language Model,Yes,,
Llama 2 13B-Chat (GGUF-Q4_1),2023-07-18T00:00:00Z,Meta / Meta,13B,8192,,text,Language Model,Yes,,
Llama 2 13B-Chat (GGUF-Q5_0),2023-07-18T00:00:00Z,Meta / Meta,13B,8192,,text,Language Model,Yes,,
Llama 2 13B-Instruct (GGUF-Q4_0),2023-07-18T00:00:00Z,Meta / Meta,13B,8192,,text,Language Model,Yes,,
Llama 2 13B-Instruct (GGUF-Q4_1),2023-07-18T00:00:00Z,Meta / Meta,13B,8192,,text,Language Model,Yes,,
Llama 2 13B-Instruct (GGUF-Q5_0),2023-07-18T00:00:00Z,Meta / Meta,13B,8192,,text,Language Model,Yes,,
Llama 2 7B (GGUF-Q4_0),2023-07-18T00:00:00Z,Meta / Meta,7B,8192,,text,Language Model,Yes,,
Llama 2 7B (GGUF-Q4_1),2023-07-18T00:00:00Z,Meta / Meta,7B,8192,,text,Language Model,Yes,,
Llama 2 7B (GGUF-Q5_0),2023-07-18T00:00:00Z,Meta / Meta,7B,8192,,text,Language Model,Yes,,
Llama 2 7B-Chat (GGUF-Q4_0),2023-07-18T00:00:00Z,Meta / Meta,7B,8192,,text,Language Model,Yes,,
Llama 2 7B-Chat (GGUF-Q4_1),2023-07-18T00:00:00Z,Meta / Meta,7B,8192,,text,Language Model,Yes,,
Llama 2 7B-Chat (GGUF-Q5_0),2023-07-18T00:00:00Z,Meta / Meta,7B,8192,,text,Language Model,Yes,,
Llama 2 7B-Instruct (GGUF-Q4_0),2023-07-18T00:00:00Z,Meta / Meta,7B,8192,,text,Language Model,Yes,,
Llama 2 7B-Instruct (GGUF-Q4_1),2023-07-18T00:00:00Z,Meta / Meta,7B,8192,,text,Language Model,Yes,,
Llama 2 7B-Instruct (GGUF-Q5_0),2023-07-18T00:00:00Z,Meta / Meta,7B,8192,,text,Language Model,Yes,,
Llama 2 70B-Orca (GGUF-Q4_0),2023-07-18T00:00:00Z,Meta / Meta,70B,8192,,text,Language Model,Yes,,
Llama 2 70B-Orca (GGUF-Q4_1),2023-07-18T00:00:00Z,Meta / Meta,70B,8192,,text,Language Model,Yes,,
Llama 2 70B-Orca (GGUF-Q5_0),2023-07-18T00:00:00Z,Meta / Meta,70B,8192,,text,Language Model,Yes,,
Llama 2 70B-Hermes (GGUF-Q4_0),2023-07-18T00:00:00Z,Meta / Meta,70B,8192,,text,Language Model,Yes,,
Llama 2 70B-Hermes (GGUF-Q4_1),2023-07-18T00:00:00Z,Meta / Meta,70B,8192,,text,Language Model,Yes,,
Llama 2 70B-Hermes (GGUF-Q5_0),2023-07-18T00:00:00Z,Meta / Meta,70B,8192,,text,Language Model,Yes,,
Llama 2 70B-Neural-Chat (GGUF-Q4_0),2023-07-18T00:00:00Z,Meta / Meta,70B,8192,,text,Language Model,Yes,,
Llama 2 70B-Neural-Chat (GGUF-Q4_1),2023-07-18T00:00:00Z,Meta / Meta,70B,8192,,text,Language Model,Yes,,
Llama 2 70B-Neural-Chat (GGUF-Q5_0),2023-07-18T00:00:00Z,Meta / Meta,70B,8192,,text,Language Model,Yes,,
Llama 2 70B-OpenHermes (GGUF-Q4_0),2023-07-18T00:00:00Z,Meta / Meta,70B,8192,,text,Language Model,Yes,,
Llama 2 70B-OpenHermes (GGUF-Q4_1),2023-07-18T00:00:00Z,Meta / Meta,70B,8192,,text,Language Model,Yes,,
Llama 2 70B-OpenHermes (GGUF-Q5_0),2023-07-18T00:00:00Z,Meta / Meta,70B,8192,,text,Language Model,Yes,,
Llama 2 70B-Airoboros (GGUF-Q4_0),2023-07-18T00:00:00Z,Meta / Meta,70B,8192,,text,Language Model,Yes,,
Llama 2 70B-Airoboros (GGUF-Q4_1),2023-07-18T00:00:00Z,Meta / Meta,70B,8192,,text,Language Model,Yes,,
Llama 2 70B-Airoboros (GGUF-Q5_0),2023-07-18T00:00:00Z,Meta / Meta,70B,8192,,text,Language Model,Yes,,
Llama 2 70B-Orion (GGUF-Q4_0),2023-07-18T00:00:00Z,Meta / Meta,70B,8192,,text,Language Model,Yes,,
Llama 2 70B-Orion (GGUF-Q4_1),2023-07-18T00:00:00Z,Meta / Meta,70B,8192,,text,Language Model,Yes,,
Llama 2 70B-Orion (GGUF-Q5_0),2023-07-18T00:00:00Z,Meta / Meta,70B,8192,,text,Language Model,Yes,,
Llama 2 70B-Platypus (GGUF-Q4_0),2023-07-18T00:00:00Z,Meta / Meta,70B,8192,,text,Language Model,Yes,,
Llama 2 70B-Platypus (GGUF-Q4_1),2023-07-18T00:00:00Z,Meta / Meta,70B,8192,,text,Language Model,Yes,,
Llama 2 70B-Platypus (GGUF-Q5_0),2023-07-18T00:00:00Z,Meta / Meta,70B,8192,,text,Language Model,Yes,,
Llama 2 70B-UltraChat (GGUF-Q4_0),2023-07-18T00:00:00Z,Meta / Meta,70B,8192,,text,Language Model,Yes,,
Llama 2 70B-UltraChat (GGUF-Q4_1),2023-07-18T00:00:00Z,Meta / Meta,70B,8192,,text,Language Model,Yes,,
Llama 2 70B-UltraChat (GGUF-Q5_0),2023-07-18T00:00:00Z,Meta / Meta,70B,8192,,text,Language Model,Yes,,
Llama 2 70B-Chat-Orca (GGUF-Q4_0),2023-07-18T00:00:00Z,Meta / Meta,70B,8192,,text,Language Model,Yes,,
Llama 2 70B-Chat-Orca (GGUF-Q4_1),2023-07-18T00:00:00Z,Meta / Meta,70B,8192,,text,Language Model,Yes,,
Llama 2 70B-Chat-Orca (GGUF-Q5_0),2023-07-18T00:00:00Z,Meta / Meta,70B,8192,,text,Language Model,Yes,,
Llama 2 70B-Chat-Hermes (GGUF-Q4_0),2023-07-18T00:00:00Z,Meta / Meta,70B,8192,,text,Language Model,Yes,,
Llama 2 70B-Chat-Hermes (GGUF-Q4_1),2023-07-18T00:00:00Z,Meta / Meta,70B,8192,,text,Language Model,Yes,,
Llama 2 70B-Chat-Hermes (GGUF-Q5_0),2023-07-18T00:00:00Z,Meta / Meta,70B,8192,,text,Language Model,Yes,,
Llama 2 70B-Chat-Neural-Chat (GGUF-Q4_0),2023-07-18T00:00:00Z,Meta / Meta,70B,8192,,text,Language Model,Yes,,
Llama 2 70B-Chat-Neural-Chat (GGUF-Q4_1),2023-07-18T00:00:00Z,Meta / Meta,70B,8192,,text,Language Model,Yes,,
Llama 2 70B-Chat-Neural-Chat (GGUF-Q5_0),2023-07-18T00:00:00Z,Meta / Meta,70B,8192,,text,Language Model,Yes,,
Llama 2 70B-Chat-OpenHermes (GGUF-Q4_0),2023-07-18T00:00:00Z,Meta / Meta,70B,8192,,text,Language Model,Yes,,
Llama 2 70B-Chat-OpenHermes (GGUF-Q4_1),2023-07-18T00:00:00Z,Meta / Meta,70B,8192,,text,Language Model,Yes,,
Llama 2 70B-Chat-OpenHermes (GGUF-Q5_0),2023-07-18T00:00:00Z,Meta / Meta,70B,8192,,text,Language Model,Yes,,
Llama 2 70B-Chat-Airoboros (GGUF-Q4_0),2023-07-18T00:00:00Z,Meta / Meta,70B,8192,,text,Language Model,Yes,,
Llama 2 70B-Chat-Airoboros (GGUF-Q4_1),2023-07-18T00:00:00Z,Meta / Meta,70B,8192,,text,Language Model,Yes,,
Llama 2 70B-Chat-Airoboros (GGUF-Q5_0),2023-07-18T00:00:00Z,Meta / Meta,70B,8192,,text,Language Model,Yes,,
Llama 2 70B-Chat-Orion (GGUF-Q4_0),2023-07-18T00:00:00Z,Meta / Meta,70B,8192,,text,Language Model,Yes,,
Llama 2 70B-Chat-Orion (GGUF-Q4_1),2023-07-18T00:00:00Z,Meta / Meta,70B,8192,,text,Language Model,Yes,,
Llama 2 70B-Chat-Orion (GGUF-Q5_0),2023-07-18T00:00:00Z,Meta / Meta,70B,8192,,text,Language Model,Yes,,
Llama 2 70B-Chat-Platypus (GGUF-Q4_0),2023-07-18T00:00:00Z,Meta / Meta,70B,8192,,text,Language Model,Yes,,
Llama 2 70B-Chat-Platypus (GGUF-Q4_1),2023-07-18T00:00:00Z,Meta / Meta,70B,8192,,text,Language Model,Yes,,
Llama 2 70B-Chat-Platypus (GGUF-Q5_0),2023-07-18T00:00:00Z,Meta / Meta,70B,8192,,text,Language Model,Yes,,
Llama 2 70B-Chat-UltraChat (GGUF-Q4_0),2023-07-18T00:00:00Z,Meta / Meta,70B,8192,,text,Language Model,Yes,,
Llama 2 70B-Chat-UltraChat (GGUF-Q4_1),2023-07-18T00:00:00Z,Meta / Meta,70B,8192,,text,Language Model,Yes,,
Llama 2 70B-Chat-UltraChat (GGUF-Q5_0),2023-07-18T00:00:00Z,Meta / Meta,70B,8192,,text,Language Model,Yes,,
Llama 2 70B-Instruct-Orca (GGUF-Q4_0),2023-07-18T00:00:00Z,Meta / Meta,70B,8192,,text,Language Model,Yes,,
Llama 2 70B-Instruct-Orca (GGUF-Q4_1),2023-07-18T00:00:00Z,Meta / Meta,70B,8192,,text,Language Model,Yes,,
Llama 2 70B-Instruct-Orca (GGUF-Q5_0),2023-07-18T00:00:00Z,Meta / Meta,70B,8192,,text,Language Model,Yes,,
Llama 2 70B-Instruct-Hermes (GGUF-Q4_0),2023-07-18T00:00:00Z,Meta / Meta,70B,8192,,text,Language Model,Yes,,
Llama 2 70B-Instruct-Hermes (GGUF-Q4_1),2023-07-18T00:00:00Z,Meta / Meta,70B,8192,,text,Language Model,Yes,,
Llama 2 70B-Instruct-Hermes (GGUF-Q5_0),2023-07-18T00:00:00Z,Meta / Meta,70B,8192,,text,Language Model,Yes,,
Llama 2 70B-Instruct-Neural-Chat (GGUF-Q4_0),2023-07-18T00:00:00Z,Meta / Meta,70B,8192,,text,Language Model,Yes,,
Llama 2 70B-Instruct-Neural-Chat (GGUF-Q4_1),2023-07-18T00:00:00Z,Meta / Meta,70B,8192,,text,Language Model,Yes,,
Llama 2 70B-Instruct-Neural-Chat (GGUF-Q5_0),2023-07-18T00:00:00Z,Meta / Meta,70B,8192,,text,Language Model,Yes,,
Llama 2 70B-Instruct-OpenHermes (GGUF-Q4_0),2023-07-18T00:00:00Z,Meta / Meta,70B,8192,,text,Language Model,Yes,,
Llama 2 70B-Instruct-OpenHermes (GGUF-Q4_1),2023-07-18T00:00:00Z,Meta / Meta,70B,8192,,text,Language Model,Yes,,
Llama 2 70B-Instruct-OpenHermes (GGUF-Q5_0),2023-07-18T00:00:00Z,Meta / Meta,70B,8192,,text,Language Model,Yes,,
Llama 2 70B-Instruct-Airoboros (GGUF-Q4_0),2023-07-18T00:00:00Z,Meta / Meta,70B,8192,,text,Language Model,Yes,,
Llama 2 70B-Instruct-Airoboros (GGUF-Q4_1),2023-07-18T00:00:00Z,Meta / Meta,70B,8192,,text,Language Model,Yes,,
Llama 2 70B-Instruct-Airoboros (GGUF-Q5_0),2023-07-18T00:00:00Z,Meta / Meta,70B,8192,,text,Language Model,Yes,,
Llama 2 70B-Instruct-Orion (GGUF-Q4_0),2023-07-18T00:00:00Z,Meta / Meta,70B,8192,,text,Language Model,Yes,,
Llama 2 70B-Instruct-Orion (GGUF-Q4_1),2023-07-18T00:00:00Z,Meta / Meta,70B,8192,,text,Language Model,Yes,,
Llama 2 70B-Instruct-Orion (GGUF-Q5_0),2023-07-18T00:00:00Z,Meta / Meta,70B,8192,,text,Language Model,Yes,,
Llama 2 70B-Instruct-Platypus (GGUF-Q4_0),2023-07-18T00:00:00Z,Meta / Meta,70B,8192,,text,Language Model,Yes,,
Llama 2 70B-Instruct-Platypus (GGUF-Q4_1),2023-07-18T00:00:00Z,Meta / Meta,70B,8192,,text,Language Model,Yes,,
Llama 2 70B-Instruct-Platypus (GGUF-Q5_0),2023-07-18T00:00:00Z,Meta / Meta,70B,8192,,text,Language Model,Yes,,
Llama 2 70B-Instruct-UltraChat (GGUF-Q4_0),2023-07-18T00:00:00Z,Meta / Meta,70B,8192,,text,Language Model,Yes,,
Llama 2 70B-Instruct-UltraChat (GGUF-Q4_1),2023-07-18T00:00:00Z,Meta / Meta,70B,8192,,text,Language Model,Yes,,
Llama 2 70B-Instruct-UltraChat (GGUF-Q5_0),2023-07-18T00:00:00Z,Meta / Meta,70B,8192,,text,Language Model,Yes,,
Llama 2 13B-Orca (GGUF-Q4_0),2023-07-18T00:00:00Z,Meta / Meta,13B,8192,,text,Language Model,Yes,,
Llama 2 13B-Orca (GGUF-Q4_1),2023-07-18T00:00:00Z,Meta / Meta,13B,8192,,text,Language Model,Yes,,
Llama 2 13B-Orca (GGUF-Q5_0),2023-07-18T00:00:00Z,Meta / Meta,13B,8192,,text,Language Model,Yes,,
Llama 2 13B-Hermes (GGUF-Q4_0),2023-07-18T00:00:00Z,Meta / Meta,13B,8192,,text,Language Model,Yes,,
Llama 2 13B-Hermes (GGUF-Q4_1),2023-07-18T00:00:00Z,Meta / Meta,13B,8192,,text,Language Model,Yes,,
Llama 2 13B-Hermes (GGUF-Q5_0),2023-07-18T00:00:00Z,Meta / Meta,13B,8192,,text,Language Model,Yes,,
Llama 2 13B-Neural-Chat (GGUF-Q4_0),2023-07-18T00:00:00Z,Meta / Meta,13B,8192,,text,Language Model,Yes,,
Llama 2 13B-Neural-Chat (GGUF-Q4_1),2023-07-18T00:00:00Z,Meta / Meta,13B,8192,,text,Language Model,Yes,,
Llama 2 13B-Neural-Chat (GGUF-Q5_0),2023-07-18T00:00:00Z,Meta / Meta,13B,8192,,text,Language Model,Yes,,
Llama 2 13B-OpenHermes (GGUF-Q4_0),2023-07-18T00:00:00Z,Meta / Meta,13B,8192,,text,Language Model,Yes,,
Llama 2 13B-OpenHermes (GGUF-Q4_1),2023-07-18T00:00:00Z,Meta / Meta,13B,8192,,text,Language Model,Yes,,
Llama 2 13B-OpenHermes (GGUF-Q5_0),2023-07-18T00:00:00Z,Meta / Meta,13B,8192,,text,Language Model,Yes,,
Llama 2 13B-Airoboros (GGUF-Q4_0),2023-07-18T00:00:00Z,Meta / Meta,13B,8192,,text,Language Model,Yes,,
Llama 2 13B-Airoboros (GGUF-Q4_1),2023-07-18T00:00:00Z,Meta / Meta,13B,8192,,text,Language Model,Yes,,
Llama 2 13B-Airoboros (GGUF-Q5_0),2023-07-18T00:00:00Z,Meta / Meta,13B,8192,,text,Language Model,Yes,,
Llama 2 13B-Orion (GGUF-Q4_0),2023-07-18T00:00:00Z,Meta / Meta,13B,8192,,text,Language Model,Yes,,
Llama 2 13B-Orion (GGUF-Q4_1),2023-07-18T00:00:00Z,Meta / Meta,13B,8192,,text,Language Model,Yes,,
Llama 2 13B-Orion (GGUF-Q5_0),2023-07-18T00:00:00Z,Meta / Meta,13B,8192,,text,Language Model,Yes,,
Llama 2 13B-Platypus (GGUF-Q4_0),2023-07-18T00:00:00Z,Meta / Meta,13B,8192,,text,Language Model,Yes,,
Llama 2 13B-Platypus (GGUF-Q4_1),2023-07-18T00:00:00Z,Meta / Meta,13B,8192,,text,Language Model,Yes,,
Llama 2 13B-Platypus (GGUF-Q5_0),2023-07-18T00:00:00Z,Meta / Meta,13B,8192,,text,Language Model,Yes,,
Llama 2 13B-UltraChat (GGUF-Q4_0),2023-07-18T00:00:00Z,Meta / Meta,13B,8192,,text,Language Model,Yes,,
Llama 2 13B-UltraChat (GGUF-Q4_1),2023-07-18T00:00:00Z,Meta / Meta,13B,8192,,text,Language Model,Yes,,
Llama 2 13B-UltraChat (GGUF-Q5_0),2023-07-18T00:00:00Z,Meta / Meta,13B,8192,,text,Language Model,Yes,,
Llama 2 13B-Chat-Orca (GGUF-Q4_0),2023-07-18T00:00:00Z,Meta / Meta,13B,8192,,text,Language Model,Yes,,
Llama 2 13B-Chat-Orca (GGUF-Q4_1),2023-07-18T00:00:00Z,Meta / Meta,13B,8192,,text,Language Model,Yes,,
Llama 2 13B-Chat-Orca (GGUF-Q5_0),2023-07-18T00:00:00Z,Meta / Meta,13B,8192,,text,Language Model,Yes,,
Llama 2 13B-Chat-Hermes (GGUF-Q4_0),2023-07-18T00:00:00Z,Meta / Meta,13B,8192,,text,Language Model,Yes,,
Llama 2 13B-Chat-Hermes (GGUF-Q4_1),2023-07-18T00:00:00Z,Meta / Meta,13B,8192,,text,Language Model,Yes,,
Llama 2 13B-Chat-Hermes (GGUF-Q5_0),2023-07-18T00:00:00Z,Meta / Meta,13B,8192,,text,Language Model,Yes,,
Llama 2 13B-Chat-Neural-Chat (GGUF-Q4_0),2023-07-18T00:00:00Z,Meta / Meta,13B,8192,,text,Language Model,Yes,,
Llama 2 13B-Chat-Neural-Chat (GGUF-Q4_1),2023-07-18T00:00:00Z,Meta / Meta,13B,8192,,text,Language Model,Yes,,
Llama 2 13B-Chat-Neural-Chat (GGUF-Q5_0),2023-07-18T00:00:00Z,Meta / Meta,13B,8192,,text,Language Model,Yes,,
Llama 2 13B-Chat-OpenHermes (GGUF-Q4_0),2023-07-18T00:00:00Z,Meta / Meta,13B,8192,,text,Language Model,Yes,,
Llama 2 13B-Chat-OpenHermes (GGUF-Q4_1),2023-07-18T00:00:00Z,Meta / Meta,13B,8192,,text,Language Model,Yes,,
Llama 2 13B-Chat-OpenHermes (GGUF-Q5_0),2023-07-18T00:00:00Z,Meta / Meta,13B,8192,,text,Language Model,Yes,,
Llama 2 13B-Chat-Airoboros (GGUF-Q4_0),2023-07-18T00:00:00Z,Meta / Meta,13B,8192,,text,Language Model,Yes,,
Llama 2 13B-Chat-Airoboros (GGUF-Q4_1),2023-07-18T00:00:00Z,Meta / Meta,13B,8192,,text,Language Model,Yes,,
Llama 2 13B-Chat-Airoboros (GGUF-Q5_0),2023-07-18T00:00:00Z,Meta / Meta,13B,8192,,text,Language Model,Yes,,
Llama 2 13B-Chat-Orion (GGUF-Q4_0),2023-07-18T00:00:00Z,Meta / Meta,13B,8192,,text,Language Model,Yes,,
Llama 2 13B-Chat-Orion (GGUF-Q4_1),2023-07-18T00:00:00Z,Meta / Meta,13B,8192,,text,Language Model,Yes,,
Llama 2 13B-Chat-Orion (GGUF-Q5_0),2023-07-18T00:00:00Z,Meta / Meta,13B,8192,,text,Language Model,Yes,,
Llama 2 13B-Chat-Platypus (GGUF-Q4_0),2023-07-18T00:00:00Z,Meta / Meta,13B,8192,,text,Language Model,Yes,,
Llama 2 13B-Chat-Platypus (GGUF-Q4_1),2023-07-18T00:00:00Z,Meta / Meta,13B,8192,,text,Language Model,Yes,,
Llama 2 13B-Chat-Platypus (GGUF-Q5_0),2023-07-18T00:00:00Z,Meta / Meta,13B,8192,,text,Language Model,Yes,,
Llama 2 13B-Chat-UltraChat (GGUF-Q4_0),2023-07-18T00:00:00Z,Meta / Meta,13B,8192,,text,Language Model,Yes,,
Llama 2 13B-Chat-UltraChat (GGUF-Q4_1),2023-07-18T00:00:00Z,Meta / Meta,13B,8192,,text,Language Model,Yes,,
Llama 2 13B-Chat-UltraChat (GGUF-Q5_0),2023-07-18T00:00:00Z,Meta / Meta,13B,8192,,text,Language Model,Yes,,
Llama 2 13B-Instruct-Orca (GGUF-Q4_0),2023-07-18T00:00:00Z,Meta / Meta,13B,8192,,text,Language Model,Yes,,
Llama 2 13B-Instruct-Orca (GGUF-Q4_1),2023-07-18T00:00:00Z,Meta / Meta,13B,8192,,text,Language Model,Yes,,
Llama 2 13B-Instruct-Orca (GGUF-Q5_0),2023-07-18T00:00:00Z,Meta / Meta,13B,8192,,text,Language Model,Yes,,
Llama 2 13B-Instruct-Hermes (GGUF-Q4_0),2023-07-18T00:00:00Z,Meta / Meta,13B,8192,,text,Language Model,Yes,,
Llama 2 13B-Instruct-Hermes (GGUF-Q4_1),2023-07-18T00:00:00Z,Meta / Meta,13B,8192,,text,Language Model,Yes,,
Llama 2 13B-Instruct-Hermes (GGUF-Q5_0),2023-07-18T00:00:00Z,Meta / Meta,13B,8192,,text,Language Model,Yes,,
Llama 2 13B-Instruct-Neural-Chat (GGUF-Q4_0),2023-07-18T00:00:00Z,Meta / Meta,13B,8192,,text,Language Model,Yes,,
Llama 2 13B-Instruct-Neural-Chat (GGUF-Q4_1),2023-07-18T00:00:00Z,Meta / Meta,13B,8192,,text,Language Model,Yes,,
Llama 2 13B-Instruct-Neural-Chat (GGUF-Q5_0),2023-07-18T00:00:00Z,Meta / Meta,13B,8192,,text,Language Model,Yes,,
Llama 2 13B-Instruct-OpenHermes (GGUF-Q4_0),2023-07-18T00:00:00Z,Meta / Meta,13B,8192,,text,Language Model,Yes,,
Llama 2 13B-Instruct-OpenHermes (GGUF-Q4_1),2023-07-18T00:00:00Z,Meta / Meta,13B,8192,,text,Language Model,Yes,,
Llama 2 13B-Instruct-OpenHermes (GGUF-Q5_0),2023-07-18T00:00:00Z,Meta / Meta,13B,8192,,text,Language Model,Yes,,
Llama 2 13B-Instruct-Airoboros (GGUF-Q4_0),2023-07-18T00:00:00Z,Meta / Meta,13B,8192,,text,Language Model,Yes,,
Llama 2 13B-Instruct-Airoboros (GGUF-Q4_1),2023-07-18T00:00:00Z,Meta / Meta,13B,8192,,text,Language Model,Yes,,
Llama 2 13B-Instruct-Airoboros (GGUF-Q5_0),2023-07-18T00:00:00Z,Meta / Meta,13B,8192,,text,Language Model,Yes,,
Llama 2 13B-Instruct-Orion (GGUF-Q4_0),2023-07-18T00:00:00Z,Meta / Meta,13B,8192,,text,Language Model,Yes,,
Llama 2 13B-Instruct-Orion (GGUF-Q4_1),2023-07-18T00:00:00Z,Meta / Meta,13B,8192,,text,Language Model,Yes,,
Llama 2 13B-Instruct-Orion (GGUF-Q5_0),2023-07-18T00:00:00Z,Meta / Meta,13B,8192,,text,Language Model,Yes,,
Llama 2 13B-Instruct-Platypus (GGUF-Q4_0),2023-07-18T00:00:00Z,Meta / Meta,13B,8192,,text,Language Model,Yes,,
Llama 2 13B-Instruct-Platypus (GGUF-Q4_1),2023-07-18T00:00:00Z,Meta / Meta,13B,8192,,text,Language Model,Yes,,
Llama 2 13B-Instruct-Platypus (GGUF-Q5_0),2023-07-18T00:00:00Z,Meta / Meta,13B,8192,,text,Language Model,Yes,,
Llama 2 13B-Instruct-UltraChat (GGUF-Q4_0),2023-07-18T00:00:00Z,Meta / Meta,13B,8192,,text,Language Model,Yes,,
Llama 2 13B-Instruct-UltraChat (GGUF-Q4_1),2023-07-18T00:00:00Z,Meta / Meta,13B,8192,,text,Language Model,Yes,,
Llama 2 13B-Instruct-UltraChat (GGUF-Q5_0),2023-07-18T00:00:00Z,Meta / Meta,13B,8192,,text,Language Model,Yes,,
Llama 2 7B-Orca (GGUF-Q4_0),2023-07-18T00:00:00Z,Meta / Meta,7B,8192,,text,Language Model,Yes,,
Llama 2 7B-Orca (GGUF-Q4_1),2023-07-18T00:00:00Z,Meta / Meta,7B,8192,,text,Language Model,Yes,,
Llama 2 7B-Orca (GGUF-Q5_0),2023-07-18T00:00:00Z,Meta / Meta,7B,8192,,text,Language Model,Yes,,
Llama 2 7B-Hermes (GGUF-Q4_0),2023-07-18T00:00:00Z,Meta / Meta,7B,8192,,text,Language Model,Yes,,
Llama 2 7B-Hermes (GGUF-Q4_1),2023-07-18T00:00:00Z,Meta / Meta,7B,8192,,text,Language Model,Yes,,
Llama 2 7B-Hermes (GGUF-Q5_0),2023-07-18T00:00:00Z,Meta / Meta,7B,8192,,text,Language Model,Yes,,
Llama 2 7B-Neural-Chat (GGUF-Q4_0),2023-07-18T00:00:00Z,Meta / Meta,7B,8192,,text,Language Model,Yes,,
Llama 2 7B-Neural-Chat (GGUF-Q4_1),2023-07-18T00:00:00Z,Meta / Meta,7B,8192,,text,Language Model,Yes,,
Llama 2 7B-Neural-Chat (GGUF-Q5_0),2023-07-18T00:00:00Z,Meta / Meta,7B,8192,,text,Language Model,Yes,,
Llama 2 7B-OpenHermes (GGUF-Q4_0),2023-07-18T00:00:00Z,Meta / Meta,7B,8192,,text,Language Model,Yes,,
Llama 2 7B-OpenHermes (GGUF-Q4_1),2023-07-18T00:00:00Z,Meta / Meta,7B,8192,,text,Language Model,Yes,,
Llama 2 7B-OpenHermes (GGUF-Q5_0),2023-07-18T00:00:00Z,Meta / Meta,7B,8192,,text,Language Model,Yes,,
Llama 2 7B-Airoboros (GGUF-Q4_0),2023-07-18T00:00:00Z,Meta / Meta,7B,8192,,text,Language Model,Yes,,
Llama 2 7B-Airoboros (GGUF-Q4_1),2023-07-18T00:00:00Z,Meta / Meta,7B,8192,,text,Language Model,Yes,,
Llama 2 7B-Airoboros (GGUF-Q5_0),2023-07-18T00:00:00Z,Meta / Meta,7B,8192,,text,Language Model,Yes,,
Llama 2 7B-Orion (GGUF-Q4_0),2023-07-18T00:00:00Z,Meta / Meta,7B,8192,,text,Language Model,Yes,,
Llama 2 7B-Orion (GGUF-Q4_1),2023-07-18T00:00:00Z,Meta / Meta,7B,8192,,text,Language Model,Yes,,
Llama 2 7B-Orion (GGUF-Q5_0),2023-07-18T00:00:00Z,Meta / Meta,7B,8192,,text,Language Model,Yes,,
Llama 2 7B-Platypus (GGUF-Q4_0),2023-07-18T00:00:00Z,Meta / Meta,7B,8192,,text,Language Model,Yes,,
Llama 2 7B-Platypus (GGUF-Q4_1),2023-07-18T00:00:00Z,Meta / Meta,7B,8192,,text,Language Model,Yes,,
Llama 2 7B-Platypus (GGUF-Q5_0),2023-07-18T00:00:00Z,Meta / Meta,7B,8192,,text,Language Model,Yes,,
Llama 2 7B-UltraChat (GGUF-Q4_0),2023-07-18T00:00:00Z,Meta / Meta,7B,8192,,text,Language Model,Yes,,
Llama 2 7B-UltraChat (GGUF-Q4_1),2023-07-18T00:00:00Z,Meta / Meta,7B,8192,,text,Language Model,Yes,,
Llama 2 7B-UltraChat (GGUF-Q5_0),2023-07-18T00:00:00Z,Meta / Meta,7B,8192,,text,Language Model,Yes,,
